seed,test_accuracy,support_cardinality,selected_basis_rank,aggregated_components,reported_mse,independent_mse,reported_r2,independent_r2,relative_l2_error,max_abs_reconstruction_error,decomposition_seconds,reported_vs_independent_mse_abs_difference,reported_vs_independent_r2_abs_difference
authors_default,1.0,8124,86,22,1.9673185978246486e-06,1.9673185978246495e-06,0.9999920823152834,0.9999920823153575,4.091452625335468e-06,0.02294444509328819,0.40496883302694187,8.470329472543003e-22,7.416289804496046e-14
0,1.0,8124,86,22,1.9673185978246486e-06,1.9673185978246495e-06,0.9999920823152834,0.9999920823153575,4.091452625335468e-06,0.02294444509328819,0.3419972499832511,8.470329472543003e-22,7.416289804496046e-14
1,1.0,8124,86,22,1.9673185978246486e-06,1.9673185978246495e-06,0.9999920823152834,0.9999920823153575,4.091452625335468e-06,0.02294444509328819,0.27368074998958036,8.470329472543003e-22,7.416289804496046e-14
2,1.0,8124,86,22,1.9673185978246486e-06,1.9673185978246495e-06,0.9999920823152834,0.9999920823153575,4.091452625335468e-06,0.02294444509328819,0.2943195410189219,8.470329472543003e-22,7.416289804496046e-14
42,1.0,8124,86,22,1.9673185978246486e-06,1.9673185978246495e-06,0.9999920823152834,0.9999920823153575,4.091452625335468e-06,0.02294444509328819,0.2612654169788584,8.470329472543003e-22,7.416289804496046e-14
